#ice dated horizons for WDC. From WAIS WD2014 Chronology. https://doi.pangaea.de/10.1594/PANGAEA.902577		
#depth (m) 	Cal age [a BP] (ice age)	Cal age std e
370.536	1453	2.6
370.744	1454	2.6
370.985	1455	2.6
371.237	1456	2.6
371.488	1457	2.6
371.685	1458	2.6
372.013	1459	2.6
372.221	1460	2.6
372.484	1461	2.6
372.703	1462	2.6
372.976	1463	2.6
373.206	1464	2.7
373.501	1465	2.7
373.775	1466	2.7
373.961	1467	2.7
374.169	1468	2.7
374.409	1469	2.7
374.65	1470	2.7
374.913	1471	2.7
375.088	1472	2.7
375.252	1473	2.7
375.427	1474	2.7
375.678	1475	2.7
375.908	1476	2.7
376.116	1477	2.7
376.302	1478	2.7
376.455	1479	2.7
376.652	1480	2.7
